Vissa EG-relaterade frågor ;Bilaga//NN|UTR|SIN|IND|NOM//ROOT//0 3//RG|NOM//nummod//0
Vissa EG-relaterade frågor ;1//RG|NOM//nummod//1 Förslag//NN|NEU|PLU|IND|NOM//ROOT//1 ,//MID//punct//3 direktiv//NN|NEU|PLU|IND|NOM//conj//1 och//KN//cc//6 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 uttalanden//NN|NEU|PLU|IND|NOM//conj//1 om//PP//case//8 skattesatser//NN|UTR|PLU|IND|NOM//nmod//6 inom//PP//case//10 EG//PM|NOM//nmod//8 i//PP//case//13 kronologisk//JJ|POS|UTR|SIN|IND|NOM//amod//13 ordning//NN|UTR|SIN|IND|NOM//nmod//1 1//RG|NOM//nummod//13
Vissa EG-relaterade frågor ;1.1//RG|NOM//nummod//1 Direktiv//NN|NEU|PLU|IND|NOM//ROOT//1 och//KN//cc//3 förslag//NN|NEU|PLU|IND|NOM//conj//1 till//PP//case//5 direktiv//NN|NEU|PLU|IND|NOM//nmod//3
Vissa EG-relaterade frågor ;Av//PP//case//2 kapitel//NN|NEU|SIN|IND|NOM//nmod//2 4.1//RG|NOM//obl//3 framgår//VB|PRS|AKT//ROOT//3 att//SN//mark//7 det//PN|NEU|SIN|DEF|SUB/OBJ//nsubj//7 varken//KN//cc//7 1967//RG|NOM//ccomp//3 ,//MID//punct//17 när//HA//mark//17 det//DT|NEU|SIN|DEF//det//11 första//RO|NOM//amod//16  //_SP////11 och//KN//cc//14 andra//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//conj//11  //_SP////14 direktivet//NN|NEU|SIN|DEF|NOM//nsubj:pass//17 antogs//VB|PRT|SFO//advcl//3 ,//MID//punct//17 eller//KN//cc//20 1977//RG|NOM//conj//17 ,//MID//punct//17 när//HA//mark//27 det//DT|NEU|SIN|DEF//det//25 sjätte//RO|NOM//amod//25 mervärdesskattedirektivet//NN|NEU|SIN|DEF|NOM//nsubj:pass//27  //_SP////25 antogs//VB|PRT|SFO//advcl//29 ,//MID//punct//29 ansågs//VB|PRT|SFO//conj//3 nödvändigt//JJ|POS|NEU|SIN|IND|NOM//xcomp//29 med//PP//case//33 en//DT|UTR|SIN|IND//det//33 harmonisering//NN|UTR|SIN|IND|NOM//obl//29 av//PP//case//35 skattesatserna//NN|UTR|PLU|DEF|NOM//nmod//33 för//PP//mark//38 att//IE//mark//38 uppnå//VB|INF|AKT//acl//33 de//DT|UTR/NEU|PLU|DEF//det//40 mål//NN|NEU|PLU|IND|NOM//obj//38 som//HP|-|-|-//obj//43 unionen//NN|UTR|SIN|DEF|NOM//nsubj//43 eftersträvade//VB|PRT|AKT//acl:relcl//40 att//IE//mark//45 uppfylla//VB|INF|AKT//advcl//43 .//MAD//punct//3
Vissa EG-relaterade frågor ;En//DT|UTR|SIN|IND//det//1 anledning//NN|UTR|SIN|IND|NOM//nsubj//54 till//PP//mark//6 att//SN//mark//6 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//6 inte//AB//advmod//6 blev//VB|PRT|AKT//acl//1 aktuellt//JJ|POS|NEU|SIN|IND|NOM//xcomp//6 att//IE//mark//9 harmonisera//VB|INF|AKT//csubj//6 ländernas//NN|NEU|PLU|DEF|GEN//nmod:poss//11 mervärdesskattesatser//NN|UTR|PLU|IND|NOM//obj//9 var//VB|PRT|AKT//cop//1 att//SN//mark//16 länderna//NN|NEU|PLU|DEF|NOM//nsubj//16 hade//VB|PRT|AKT//aux//16 lagt//VB|SUP|AKT//csubj//1 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//18 vikt//NN|UTR|SIN|IND|NOM//obj//16 vid//PP//case//23 direkt//JJ|POS|UTR|SIN|IND|NOM//amod//23 respektive//AB//amod//23 indirekt//JJ|POS|UTR|SIN|IND|NOM//amod//23 beskattning//NN|UTR|SIN|IND|NOM//obl//16 i//PP//case//27 sin//PS|UTR|SIN|DEF//nmod:poss//27 nationella//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//27 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//23 .//MAD//punct//1
Vissa EG-relaterade frågor ;Om//SN//mark//38 en//DT|UTR|SIN|IND//det//32 total//JJ|POS|UTR|SIN|IND|NOM//amod//32 harmonisering//NN|UTR|SIN|IND|NOM//nsubj:pass//38 av//PP//case//34 skattesatserna//NN|UTR|PLU|DEF|NOM//nmod//32 på//PP//case//36 momsområdet//NN|NEU|SIN|DEF|NOM//nmod//34 hade//VB|PRT|AKT//aux//38 genomförts//VB|SUP|SFO//advcl//54 skulle//VB|PRT|AKT//aux//54 medlemsländerna//NN|NEU|PLU|DEF|NOM//nsubj//54 för//PP//mark//43 att//IE//mark//43 bibehålla//VB|INF|AKT//acl//40 skatteintäkterna//NN|UTR|PLU|DEF|NOM//obj//43 på//PP//case//48 en//DT|UTR|SIN|IND//det//48 viss//JJ|POS|UTR|SIN|IND|NOM//amod//48 nivå//NN|UTR|SIN|IND|NOM//obl//43 troligen//AB//advmod//43 i//PP//case//52 många//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//52 fall//NN|NEU|PLU|IND|NOM//obl//43 blivit//VB|SUP|AKT//aux:pass//54 tvungna//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//54 att//IE//mark//58 inte//AB//advmod//58 bara//AB//advmod//58 ändra//VB|INF|AKT//ccomp//54 momssatsen//NN|UTR|SIN|DEF|NOM//obj//58 utan//KN//cc//62 även//AB//advmod//62 ändra//VB|INF|AKT//conj//58 på//PP//case//67 den//DT|UTR|SIN|DEF//det//66 direkta//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//66 beskattningens//NN|UTR|SIN|DEF|GEN//nmod:poss//67 skatteuttag//NN|NEU|SIN|IND|NOM//obl//62 .//MAD//punct//54
Vissa EG-relaterade frågor ;En//DT|UTR|SIN|IND//det//71 annan//JJ|POS|UTR|SIN|IND|NOM//amod//71 orsak//NN|UTR|SIN|IND|NOM//appos//54 till//PP//mark//79 att//SN//mark//79 förändringar//NN|UTR|PLU|IND|NOM//nsubj//79 på//PP//case//76 skattesatsområdet//NN|NEU|SIN|DEF|NOM//nmod//74 ofta//AB|POS//advmod//79 kan//VB|PRS|AKT//aux//79 möta//VB|INF|AKT//acl//71 motstånd//NN|NEU|SIN|IND|NOM//obj//79 från//PP//case//82 medlemsländerna//NN|NEU|PLU|DEF|NOM//nmod//80 är//VB|PRS|AKT//cop//71 att//SN//mark//87 man//PN|UTR|SIN|IND|SUB//nsubj//87 är//VB|PRS|AKT//cop//87 medveten//JJ|POS|UTR|SIN|IND|NOM//csubj//71 om//PP//mark//108 att//SN//mark//108 höjningar//NN|UTR|PLU|IND|NOM//nsubj//108 av//PP//case//92 skattesatsen//NN|UTR|SIN|DEF|NOM//nmod//90 för//PP//case//95 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//95 grupper//NN|UTR|PLU|IND|NOM//nmod//90 (//PAD//punct//95 som//KN//obl//102 en//DT|UTR|SIN|IND//det//100 vidare//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//100 harmonisering//NN|UTR|SIN|IND|NOM//nsubj//102 skulle//VB|PRT|AKT//aux//102 leda//VB|INF|AKT//acl:relcl//95 till//PP//case//97 ibland//AB//advmod//102 )//PAD//punct//90 i//PP//advmod//108 regel//NN|UTR|SIN|IND|NOM//fixed//106 möter//VB|PRS|AKT//advcl//87 starkt//JJ|POS|NEU|SIN|IND|NOM//amod//110 motstånd//NN|NEU|SIN|IND|NOM//obj//108 av//PP//case//113 berörda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//113 företag//NN|NEU|PLU|IND|NOM//nmod//110 och//KN//cc//115 konsumenter//NN|UTR|PLU|IND|NOM//conj//113 i//PP//case//117 medlemsstaten//NN|UTR|SIN|DEF|NOM//nmod//115 .//MAD//punct//54
Vissa EG-relaterade frågor ;Rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 andra//RO|NOM//amod//2 direktiv//NN|NEU|SIN|IND|NOM//ROOT//2 (//PAD//punct//4 1967//RG|NOM//nummod//2 )//PAD//punct//2
Vissa EG-relaterade frågor ;I//PP//case//1 ingressen//NN|UTR|SIN|DEF|NOM//obl//12 till//PP//case//5 rådets//NN|NEU|SIN|DEF|GEN//nmod:poss//5 andra//RO|NOM//amod//5 direktiv//NN|NEU|SIN|IND|NOM//nmod//1 1967//RG|NOM//nummod//1 (//PAD//punct//6 67/228//RG|NOM//appos//6 ///MID//cc//10 EEC//NN|AN//conj//8 )//PAD//punct//8 uttalas//VB|PRS|SFO//ROOT//12 följande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//nsubj:pass//12 ://MAD//punct//12
Vissa EG-relaterade frågor ;Vid//PP//case//2 momsens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 införande//NN|NEU|SIN|IND|NOM//obl//5 i//PP//case//4 EG//PM|NOM//nmod//2 förutsågs//VB|PRT|SFO//ROOT//5 således//AB//advmod//5 att//SN//mark//8 reducerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ccomp//5 skattesatser//NN|UTR|PLU|IND|NOM//obj//8 skulle//VB|PRT|AKT//aux//13 komma//VB|INF|AKT//aux//13 att//IE//mark//13 tillämpas//VB|INF|SFO//conj//5 för//PP//case//16 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 varor//NN|UTR|PLU|IND|NOM//obl//13 och//KN//cc//18 tjänster//NN|UTR|PLU|IND|NOM//conj//16 .//MAD//punct//5
Vissa EG-relaterade frågor ;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//30 bakom//PP//case//22 nedsättningarna//NN|UTR|PLU|DEF|NOM//nmod//20 och//KN//cc//26 de//DT|UTR/NEU|PLU|DEF//det//26 förhöjda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//26 skattesatserna//NN|UTR|PLU|DEF|NOM//conj//22 skulle//VB|PRT|AKT//aux//30 antingen//KN//cc//30 vara//VB|INF|AKT//cop//30 socialt//JJ|POS|NEU|SIN|IND|NOM//parataxis//5 eller//KN//cc//32 ekonomiskt//AB|POS//conj//30 (//PAD//punct//34 fördelningspolitiskt//AB|POS//advmod//30 )//PAD//punct//34 .//MAD//punct//5
