Till statsrådet Lars-Erik Lövdén ;Regeringen//NN|UTR|SIN|DEF|NOM//nsubj//1 beslutade//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 11//RG|NOM//nummod//4 november//NN|UTR|SIN|IND|NOM//obj//1 1999//RG|NOM//nummod//4 att//IE//mark//7 tillkalla//VB|INF|AKT//acl//4 en//DT|UTR|SIN|IND//det//10 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//10 utredare//NN|UTR|SIN|IND|NOM//obj//7 med//PP//case//12 uppdrag//NN|NEU|SIN|IND|NOM//obl//7 att//IE//mark//14 föreslå//VB|INF|AKT//acl//4 permanenta//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//16 regler//NN|UTR|PLU|IND|NOM//obj//14 för//PP//case//19 kooperativ//NN|NEU|SIN|IND|NOM//amod//19 hyresrätt//NN|UTR|SIN|IND|NOM//obl//14 .//MAD//punct//1
Till statsrådet Lars-Erik Lövdén ;Till//PP//case//2 särskild//PC|PRF|UTR|SIN|IND|NOM//amod//2 utredare//NN|UTR|SIN|IND|NOM//obl//3 förordnades//VB|PRT|SFO//ROOT//3 hyresrådet//NN|NEU|SIN|DEF|NOM//nsubj:pass//3 och//KN//cc//6 chefen//NN|UTR|SIN|DEF|NOM//conj//4 för//PP//case//8 Hyresnämnden//NN|UTR|SIN|DEF|NOM//nmod//6 i//PP//case//10 Stockholm//PM|NOM//nmod//8 Håkan//PM|NOM//dep//3 Julius//PM|NOM//flat:name//11 .//MAD//punct//3
Till statsrådet Lars-Erik Lövdén ;Som//KN//case//1 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//8 i//PP//case//4 arbetet//NN|NEU|SIN|DEF|NOM//obl//2 med//PP//case//7 detta//DT|NEU|SIN|DEF//det//7 betänkande//NN|NEU|SIN|IND|NOM//nmod//4 medverkat//VB|SUP|AKT//ROOT//8 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//nsubj//8 Lotta//PM|NOM//flat:name//9 Hardvik//PM|NOM//obj//8 Åkerström//PM|NOM//flat:name//11 ,//MID//punct//14 Justitiedepartementet//PM|NOM//conj//11 ,//MID//punct//14 kanslirådet//NN|NEU|SIN|DEF|NOM//nmod//18 Anders//PM|NOM//nmod//18 Lönnberg//PM|NOM//conj//11 ,//MID//punct//20 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 och//KN//cc//22 kammarrättsassessorn//NN|UTR|SIN|DEF|NOM//conj//11 Eveline//PM|NOM//flat//11 Nilsson//PM|NOM//conj//11 ,//MID//punct//11 Finansdepartementet//NN|NEU|SIN|DEF|NOM//conj//11 .//MAD//punct//8
Till statsrådet Lars-Erik Lövdén ;Som//KN//mark//31 experter//NN|UTR|PLU|IND|NOM//nsubj//31 har//VB|PRS|AKT//aux//31 medverkat//VB|SUP|AKT//advcl//8 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//33 direktören//NN|UTR|SIN|DEF|NOM//nmod//34 Eva//PM|NOM//obj//31 Andersson//PM|NOM//flat:name//34 ,//MID//punct//37 Nordbanken//PM|NOM//appos//31 Hypotek//PM|NOM//flat//37 AB//PM|NOM//nmod//37 (//PAD//punct//41 publ//NN|UTR|SIN|IND|NOM//advcl//37 .//MAD//punct//37 )//PAD//punct//37 ,//MID//punct//46
Till statsrådet Lars-Erik Lövdén ;företagsjuristen//NN|UTR|SIN|DEF|NOM//nmod//46 Ulrika//PM|NOM//conj//31 Blomqvist//PM|NOM//flat:name//46 ,//MID//punct//47 Riksbyggen//PM|NOM//conj//46 ,//MID//punct//51 projektledaren//NN|UTR|SIN|DEF|NOM//nmod//52 Jörgen//PM|NOM//obj//31 Mark-Nielsen//PM|NOM//flat:name//52 ,//MID//punct//55 SABO//PM|NOM//conj//52 ,//MID//punct//52 förbundsjuristen//NN|UTR|SIN|DEF|NOM//nmod//58 Per-Gunnar//PM|NOM//appos//31 Nyström//PM|NOM//flat:name//58 ,//MID//punct//58 Hyresgästernas//NN|UTR|PLU|DEF|GEN//nmod:poss//62 Riksförbund//NN|NEU|SIN|IND|NOM//conj//58 ,//MID//punct//58 experten//NN|UTR|SIN|DEF|NOM//nmod//65 Rolf-Erik//PM|NOM//appos//58 Román//PM|NOM//flat:name//65 ,//MID//punct//68 Boverket//PM|NOM//conj//65 ,//MID//punct//58 och//KN//cc//73 f.d.//JJ|AN//amod//73 verkställande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//73 direktören//NN|UTR|SIN|DEF|NOM//conj//58 i//PP//case//76 SKB//PM|NOM//nmod//76 Karin//PM|NOM//nmod//73 Wiklund//PM|NOM//flat//76 .//MAD//punct//8
Till statsrådet Lars-Erik Lövdén ;Sekreterare//NN|UTR|SIN|IND|NOM//nsubj//3 åt//PP//case//2 utredningen//NN|UTR|SIN|DEF|NOM//nmod//0 har//VB|PRS|AKT//aux//5 varit//VB|SUP|AKT//advmod//3 hovrättsassessorn//NN|UTR|SIN|DEF|NOM//ROOT//5 Bob//PM|NOM//nsubj//5 Nilsson//PM|NOM//flat:name//6 Hjorth//PM|NOM//flat:name//6 .//MAD//punct//5
Till statsrådet Lars-Erik Lövdén ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//2 har//VB|PRS|AKT//aux//2 antagit//VB|SUP|AKT//ROOT//2 namnet//NN|NEU|SIN|DEF|NOM//nmod//4 Utredningen//NN|UTR|SIN|DEF|NOM//obj//2 om//PP//case//7 kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//7 hyresrätt//NN|UTR|SIN|IND|NOM//nmod//4 (//PAD//punct//7 Ju//NN|AN//advmod//10 1999:14//RG|NOM//appos//7 )//PAD//punct//4 .//MAD//punct//2
Till statsrådet Lars-Erik Lövdén ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//3 får//VB|PRS|AKT//aux//3 härmed//AB//advmod//3 överlämna//VB|INF|AKT//ROOT//3 sitt//PS|NEU|SIN|DEF//nmod:poss//5 betänkande//NN|NEU|SIN|IND|NOM//obj//3 Kooperativ//JJ|POS|UTR|SIN|IND|NOM//amod//7 hyresrätt//NN|UTR|SIN|IND|NOM//obj//3 .//MAD//punct//3
Till statsrådet Lars-Erik Lövdén ;Arbetet//NN|NEU|SIN|DEF|NOM//nsubj:pass//2 har//VB|PRS|AKT//aux//2 bedrivits//VB|SUP|SFO//ROOT//2 i//PP//case//5 nära//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//5 samråd//NN|NEU|SIN|IND|NOM//obl//2 med//PP//case//8 de//DT|UTR/NEU|PLU|DEF//det//8 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nmod//5 och//KN//cc//10 experterna//NN|UTR|PLU|DEF|NOM//conj//8 .//MAD//punct//2
Till statsrådet Lars-Erik Lövdén ;Betänkandet//NN|NEU|SIN|DEF|NOM//nsubj:pass//15 har//VB|PRS|AKT//aux//15 därför//AB//advmod//15 avfattats//VB|SUP|SFO//parataxis//2 i//PP//case//17 vi-form//NN|UTR|SIN|IND|NOM//obl//15 .//MID//punct//15
Till statsrådet Lars-Erik Lövdén ;De//DT|UTR/NEU|PLU|DEF//det//20 sakkunniga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//23 och//KN//cc//22 experterna//NN|UTR|PLU|DEF|NOM//conj//20 står//VB|PRS|AKT//conj//15 bakom//PL//case//27 de//DT|UTR/NEU|PLU|DEF//det//27 olika//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 förslag//NN|NEU|PLU|IND|NOM//obl//23 som//HP|-|-|-//nsubj:pass//29 läggs//VB|PRS|SFO//acl:relcl//27 fram//PL//compound:prt//29 ,//MID//punct//29 med//PP//case//34 det//DT|NEU|SIN|DEF//det//34 undantaget//NN|NEU|SIN|DEF|NOM//obl//29 att//SN//mark//45 en//PN|UTR|SIN|IND|SUB/OBJ//nsubj//45 av//PP//case//38 experterna//NN|UTR|PLU|DEF|NOM//nmod//36 i//PP//case//44 enlighet//NN|UTR|SIN|IND|NOM//fixed//39 med//PP//fixed//39 sitt//PS|NEU|SIN|DEF//nmod:poss//44 särskilda//PC|PRF|UTR/NEU|SIN|DEF|NOM//amod//44 yttrande//NN|NEU|SIN|IND|NOM//nmod//38 är//VB|PRS|AKT//acl//34 av//PP//case//48 annan//JJ|POS|UTR|SIN|IND|NOM//amod//48 mening//NN|UTR|SIN|IND|NOM//obl//45 i//PP//case//52 ett//DT|NEU|SIN|IND//det//51 par//NN|NEU|SIN|IND|NOM//nmod//52 frågor//NN|UTR|PLU|IND|NOM//nmod//48 .//MAD//punct//45
Till statsrådet Lars-Erik Lövdén ;Utredningsuppdraget//NN|NEU|SIN|DEF|NOM//nsubj//4 är//VB|PRS|AKT//cop//4 med//PP//case//3 detta//PN|NEU|SIN|DEF|SUB/OBJ//obl//4 slutfört//PC|PRF|NEU|SIN|IND|NOM//ROOT//4 .//MAD//punct//4
Till statsrådet Lars-Erik Lövdén ;Stockholm//PM|NOM//ROOT//0 i//PP//case//2 november//NN|UTR|SIN|IND|NOM//obl//0 2000//RG|NOM//nummod//2 .//MAD//punct//0
