6 Trädgårdsnäringens konkurrenssituation ;Syftet//NN|NEU|SIN|DEF|NOM//nsubj//6 med//PP//case//3 detta//DT|NEU|SIN|DEF//det//3 kapitel//NN|NEU|SIN|IND|NOM//nmod//0 är//VB|PRS|AKT//cop//6 att//IE//mark//6 redovisa//VB|INF|AKT//ROOT//6 den//DT|UTR|SIN|DEF//det//9 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//9 trädgårdsnäringens//NN|UTR|SIN|DEF|GEN//nmod:poss//10 struktur//NN|UTR|SIN|IND|NOM//obj//6 och//KN//cc//12 konkurrenskraft//NN|UTR|SIN|IND|NOM//conj//10 ,//MID//punct//10 i//PP//case//17 förhållande//NN|NEU|SIN|IND|NOM//fixed//14 till//PP//fixed//14 Danmark//PM|NOM//obl//6 och//KN//cc//19 Nederländerna//PM|NOM//conj//17 .//MAD//punct//6
6 Trädgårdsnäringens konkurrenssituation ;Dessa//DT|UTR/NEU|PLU|DEF//det//22 länder//NN|NEU|PLU|IND|NOM//nsubj//25 är//VB|PRS|AKT//cop//25 betydande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//25 konkurrenter//NN|UTR|PLU|IND|NOM//parataxis//6 till//PP//case//29 den//DT|UTR|SIN|DEF//det//29 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//29 trädgårdssektorn//NN|UTR|SIN|DEF|NOM//nmod//25 .//MAD//punct//6
6 Trädgårdsnäringens konkurrenssituation ;Enligt//PP//case//2 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//2 bedömning//NN|UTR|SIN|IND|NOM//obl//3 har//VB|PRS|AKT//ROOT//3 Sverige//PM|NOM//nsubj//3 goda//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//6 förutsättningar//NN|UTR|PLU|IND|NOM//obj//3 att//IE//mark//8 bedriva//VB|INF|AKT//acl//6 en//DT|UTR|SIN|IND//det//11 bred//JJ|POS|UTR|SIN|IND|NOM//amod//11 produktion//NN|UTR|SIN|IND|NOM//obj//8 av//PP//case//13 trädgårdsprodukter//NN|UTR|PLU|IND|NOM//nmod//11 .//MAD//punct//3
6 Trädgårdsnäringens konkurrenssituation ;De//DT|UTR/NEU|PLU|DEF//det//16 förslag//NN|NEU|PLU|IND|NOM//nsubj//20 som//HP|-|-|-//obj//19 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//19 framlägger//VB|PRS|AKT//acl:relcl//16 bedöms//VB|PRS|SFO//parataxis//3 få//VB|INF|AKT//xcomp//20 en//DT|UTR|SIN|IND//det//24 gynnsam//JJ|POS|UTR|SIN|IND|NOM//amod//24 effekt//NN|UTR|SIN|IND|NOM//obj//21 på//PP//case//26 sysselsättningsläget//NN|NEU|SIN|DEF|NOM//obl//21 inom//PP//case//28 trädgårdsodlingen//NN|UTR|SIN|DEF|NOM//nmod//26 och//KN//cc//31 denna//DT|UTR|SIN|DEF//det//31 småföretagarbransch//NN|UTR|SIN|IND|NOM//conj//28 .//MAD//punct//3
6 Trädgårdsnäringens konkurrenssituation ;Då//HA//mark//16 det//DT|NEU|SIN|DEF//det//3 svenska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 strukturstödet//NN|NEU|SIN|DEF|NOM//nsubj//16 ,//MID//punct//7 enligt//PP//case//7 utredningens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 bedömning//NN|UTR|SIN|IND|NOM//obl//16 ,//MID//punct//7 inte//AB//advmod//16 i//PP//case//13 någon//DT|UTR|SIN|IND//det//13 nämnvärd//JJ|POS|UTR|SIN|IND|NOM//amod//13 grad//NN|UTR|SIN|IND|NOM//obl//16 kommer//VB|PRS|AKT//aux//16 att//IE//mark//16 medverka//VB|INF|AKT//advcl//24 till//PP//case//20 en//DT|UTR|SIN|IND//det//20 nödvändig//JJ|POS|UTR|SIN|IND|NOM//amod//20 strukturomvandling//NN|UTR|SIN|IND|NOM//obl//16 av//PP//case//22 växthusodlingen//NN|UTR|SIN|DEF|NOM//nmod//20 ,//MID//punct//16 föreslår//VB|PRS|AKT//ROOT//24 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//24 ett//DT|NEU|SIN|IND//det//29 särskilt//PC|PRF|NEU|SIN|IND|NOM//advmod//28 femårigt//JJ|POS|NEU|SIN|IND|NOM//amod//29 stödprogram//NN|NEU|SIN|IND|NOM//obj//24 inom//PP//case//33 ramen//NN|UTR|SIN|DEF|NOM//fixed//30 för//PP//fixed//30 EU//PM|NOM//nmod//29 ://MID//punct//29 s//NN|AN//nummod//36 strukturstöd//NN|NEU|SIN|IND|NOM//appos//29 .//MAD//punct//24
6 Trädgårdsnäringens konkurrenssituation ;Stödet//NN|NEU|SIN|DEF|NOM//nsubj:pass//39 föreslås//VB|PRS|SFO//parataxis//24 uppgå//VB|INF|AKT//xcomp//39 till//PP//case//44 10//RG|NOM//nummod//43 miljoner//NN|UTR|PLU|IND|NOM//nmod//44 kr//NN|AN//obl//40 ///MID//case//46 år//NN|NEU|SIN|IND|NOM//nmod//44 ,//MID//punct//39 varav//HA//advmod//51 statligt//JJ|POS|NEU|SIN|IND|NOM//amod//50 finansieringsbehov//NN|NEU|SIN|IND|NOM//nsubj:pass//51 bedöms//VB|PRS|SFO//advcl//39 till//PP//case//55 7,5//RG|NOM//nummod//54 miljoner//NN|UTR|PLU|IND|NOM//nmod//55 kr//NN|AN//obl//51 ///MID//case//57 år//NN|NEU|SIN|IND|NOM//nmod//55 .//MAD//punct//24
6 Trädgårdsnäringens konkurrenssituation ;Nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//1 system//NN|NEU|SIN|IND|NOM//nsubj//6 med//PP//case//3 koldioxidbeskattning//NN|UTR|SIN|IND|NOM//nmod//1 är//VB|PRS|AKT//cop//6 administrativt//AB|POS//advmod//6 komplicerat//PC|PRF|NEU|SIN|IND|NOM//ROOT//6 och//KN//cc//8 har//VB|PRS|AKT//conj//6 negativa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 konsekvenser//NN|UTR|PLU|IND|NOM//obj//8 då//HA//mark//14 dess//PS|UTR/NEU|SIN/PLU|DEF//nmod:poss//13 nedsättningssystem//NN|NEU|PLU|IND|NOM//nsubj:pass//14 baseras//VB|PRS|SFO//acl:relcl//10 på//PP//case//17 företagens//NN|NEU|PLU|DEF|GEN//nmod:poss//17 försäljnings-//NN|UTR|-|-|SMS//obl//14 eller//KN//cc//19 omsättningsvärde//NN|NEU|SIN|IND|NOM//conj//17 .//MAD//punct//6
6 Trädgårdsnäringens konkurrenssituation ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//22 föreslår//VB|PRS|AKT//parataxis//6 därför//AB//advmod//22 en//DT|UTR|SIN|IND//det//26 generell//JJ|POS|UTR|SIN|IND|NOM//amod//26 nedsättning//NN|UTR|SIN|IND|NOM//obj//22 av//PP//case//28 koldioxidskatten//NN|UTR|SIN|DEF|NOM//nmod//26 på//PP//case//30 olja//NN|UTR|SIN|IND|NOM//nmod//28 för//PP//case//32 växthusuppvärmning//NN|UTR|SIN|IND|NOM//obl//22 till//PP//case//35 i//PP//case//35 nivå//NN|UTR|SIN|IND|NOM//nmod//32 med//PP//case//37 EU//PM|NOM//nmod//35 ://MID//punct//22 s//NN|NEU|SIN|IND|GEN//case//41 mineraloljedirektivs//NN|UTR|SIN|IND|GEN//nmod:poss//41 minimiskatt//NN|UTR|SIN|IND|NOM//parataxis//22 .//MAD//punct//22
6 Trädgårdsnäringens konkurrenssituation ;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj//44 omfattar//VB|PRS|AKT//parataxis//22 även//AB//advmod//44 de//DT|UTR/NEU|PLU|DEF//det//48 s.k.//AB|AN//amod//48 grönfodertorkarna//NN|UTR|PLU|DEF|NOM//obj//44 ,//MID//punct//48 vilka//HP|UTR/NEU|PLU|IND//nsubj//51 har//VB|PRS|AKT//acl:relcl//48 en//DT|UTR|SIN|IND//det//53 energisituation//NN|UTR|SIN|IND|NOM//obj//51 som//HP|-|-|-//nsubj//56 är//VB|PRS|AKT//cop//56 parallell//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//53 med//PP//case//58 växthusnäringen//NN|UTR|SIN|DEF|NOM//obl//56 .//MAD//punct//44
6 Trädgårdsnäringens konkurrenssituation ;Förslaget//NN|NEU|SIN|DEF|NOM//nsubj:pass//61 uppskattas//VB|PRS|SFO//parataxis//44 innebära//VB|INF|AKT//xcomp//61 en//DT|UTR|SIN|IND//det//64 minskning//NN|UTR|SIN|IND|NOM//obj//62 av//PP//case//67 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//67 skatteuttag//NN|NEU|PLU|IND|NOM//nmod//64 med//PP//case//72 ca//AB|AN//advmod//70 10//RG|NOM//nummod//71 miljoner//NN|UTR|PLU|IND|NOM//nmod//72 kr//NN|AN//nmod//64 ///MID//case//74 år//NN|NEU|SIN|IND|NOM//nmod//72 .//MAD//punct//44
6 Trädgårdsnäringens konkurrenssituation ;För//PP//mark//2 att//IE//mark//2 bidra//VB|INF|AKT//advcl//15 till//PP//case//4 lösningen//NN|UTR|SIN|DEF|NOM//obl//2 av//PP//case//7 trädgårdsnäringens//NN|UTR|SIN|DEF|GEN//nmod:poss//7 problem//NN|NEU|SIN|IND|NOM//nmod//4 att//IE//mark//9 tillgodose//VB|INF|AKT//xcomp//2 behovet//NN|NEU|SIN|DEF|NOM//obj//9 av//PP//case//13 säsongsbetonad//PC|PRF|UTR|SIN|IND|NOM//amod//13 skördearbetskraft//NN|UTR|SIN|IND|NOM//nmod//10 ,//MID//punct//15 föreslår//VB|PRS|AKT//ROOT//15 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//15 att//SN//mark//19 regeringen//NN|UTR|SIN|DEF|NOM//nsubj//19 ger//VB|PRS|AKT//ccomp//15 AMS//PM|NOM//obj//19 i//PP//case//22 uppdrag//NN|NEU|SIN|IND|NOM//obl//19 att//IE//mark//29 i//PP//case//25 samråd//NN|NEU|SIN|IND|NOM//obl//29 med//PP//case//28 arbetsmarknadens//NN|UTR|SIN|DEF|GEN//nmod:poss//28 parter//NN|UTR|PLU|IND|NOM//nmod//25 finna//VB|INF|AKT//acl//22 arbetsformer//NN|UTR|PLU|IND|NOM//obj//29 så//AB//mark//37 att//SN//fixed//31 trädgårdsnäringens//NN|UTR|SIN|DEF|GEN//nmod:poss//34 arbetskraftsbehov//NN|NEU|SIN|IND|NOM//nsubj:pass//37 bättre//AB|KOM//advmod//37 kan//VB|PRS|AKT//aux//37 tillgodoses//VB|INF|SFO//advcl//29 .//MAD//punct//15
6 Trädgårdsnäringens konkurrenssituation ;För//PP//mark//2 att//IE//mark//2 trygga//VB|INF|AKT//advcl//9 trädgårdsnäringens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 långsiktiga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//5 behov//NN|NEU|SIN|IND|NOM//obj//2 av//PP//case//7 utvecklingsinsatser//NN|UTR|PLU|IND|NOM//nmod//5 ,//MID//punct//2 föreslår//VB|PRS|AKT//ROOT//9 utredningen//NN|UTR|SIN|DEF|NOM//nsubj//9 att//SN//mark//18 staten//NN|UTR|SIN|DEF|NOM//nsubj//18 under//PP//case//15 en//DT|UTR|SIN|IND//det//15 femårsperiod//NN|UTR|SIN|IND|NOM//obl//18 över//PP//case//17 budgeten//NN|UTR|SIN|DEF|NOM//nmod//15 anvisar//VB|PRS|AKT//ccomp//9 15//RG|NOM//nummod//20 miljoner//NN|UTR|PLU|IND|NOM//nmod//21 kr//NN|AN//obj//18 ///MID//case//23 år//NN|NEU|SIN|IND|NOM//nmod//21 att//IE//mark//25 användas//VB|INF|SFO//advcl//18 som//KN//mark//29 en//DT|UTR|SIN|IND//det//29 kollektiv//JJ|POS|UTR|SIN|IND|NOM//amod//29 resurs//NN|UTR|SIN|IND|NOM//xcomp//25 för//PP//case//33 branschens//NN|UTR|SIN|DEF|GEN//nmod:poss//33 gemensamma//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 utveckling//NN|UTR|SIN|IND|NOM//nmod//29 .//MAD//punct//9
6 Trädgårdsnäringens konkurrenssituation ;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//36 anser//VB|PRS|AKT//parataxis//9 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//36 rimligt//JJ|POS|NEU|SIN|IND|NOM//xcomp//36 att//SN//mark//41 trädgårdsnäringen//NN|UTR|SIN|DEF|NOM//nsubj:pass//41 ges//VB|PRS|SFO//advcl//36 ett//DT|NEU|SIN|IND//det//44 avgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//44 inflytande//NN|NEU|SIN|IND|NOM//obj//41 på//PP//case//48 dessa//DT|UTR/NEU|PLU|DEF//det//48 medels//NN|UTR|SIN|IND|GEN//nmod:poss//48 användning//NN|UTR|SIN|IND|NOM//nmod//44 inom//PP//case//53 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 fastställda//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//53 generella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//53 ramar//NN|UTR|PLU|IND|NOM//nmod//48 .//MAD//punct//36
6 Trädgårdsnäringens konkurrenssituation ;De//PN|UTR/NEU|PLU|DEF|SUB//nsubj//59 på//PP//case//58 detta//DT|NEU|SIN|DEF//det//58 sätt//NN|NEU|SIN|IND|NOM//obl//59 anvisade//VB|PRT|AKT//parataxis//36 medlen//NN|NEU|PLU|DEF|NOM//nsubj:pass//62 bör//VB|PRS|AKT//aux//62 förvaltas//VB|INF|SFO//ccomp//59 av//PP//case//65 Statens//NN|UTR|SIN|DEF|GEN//nmod:poss//65 jordbruksverk//NN|NEU|SIN|IND|NOM//obl:agent//62 .//MAD//punct//36
6 Trädgårdsnäringens konkurrenssituation ;Särskild//PC|PRF|UTR|SIN|IND|NOM//amod//68 vikt//NN|UTR|SIN|IND|NOM//nsubj:pass//70 bör//VB|PRS|AKT//aux//70 läggas//VB|INF|SFO//conj//36 vid//PP//case//72 programområdena//NN|NEU|PLU|DEF|NOM//nmod//73 FoU//NN|AN//obl//70 och//KN//cc//75 marknads-//NN|UTR|-|-|SMS//amod//78 och//KN//cc//77 exportfrämjande//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//conj//75 verksamhet//NN|UTR|SIN|IND|NOM//conj//73 .//MAD//punct//36
6 Trädgårdsnäringens konkurrenssituation ;Utvecklingsinsatserna//NN|UTR|PLU|DEF|NOM//nsubj//82 skall//VB|PRS|AKT//aux//82 omfatta//VB|INF|AKT//conj//36 alla//DT|UTR/NEU|PLU|IND/DEF//det//84 produktionsgrenar//NN|UTR|PLU|IND|NOM//obj//82 och//KN//cc//87 hela//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//87 landet//NN|NEU|SIN|DEF|NOM//conj//84 .//MAD//punct//36

6.1 Inledning;År//NN|NEU|SIN|IND|NOM//nmod//1 1996//RG|NOM//nummod//2 bedrev//VB|PRT|AKT//ROOT//2 3//RG|NOM//nummod//4 729//RG|NOM//nummod//5 företag//NN|NEU|PLU|IND|NOM//nmod//6 trädgårdsnäring//NN|UTR|SIN|IND|NOM//nsubj//2 i//PP//case//8 Sverige//PM|NOM//nmod//6 .//MAD//punct//2
