
11 Tydlighet och flexibilitet Förslag:;En//DT|UTR|SIN|IND//det//4 ny//JJ|POS|UTR|SIN|IND|NOM//amod//4 och//KN//cc//3 moderniserad//PC|PRF|UTR|SIN|IND|NOM//conj//1 lag//NN|UTR|SIN|IND|NOM//nsubj//5 ersätter//VB|PRS|AKT//ROOT//5 den//DT|UTR|SIN|DEF//det//8 nuvarande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//8 lagen//NN|UTR|SIN|DEF|NOM//obj//5 .//MAD//punct//5
11 Tydlighet och flexibilitet Förslag:;Lagen//NN|UTR|SIN|DEF|NOM//nsubj:pass//12 bör//VB|PRS|AKT//aux//12 kompletteras//VB|INF|SFO//parataxis//5 både//KN//advmod//15 med//PP//case//15 föreskrifter//NN|UTR|PLU|IND|NOM//obl//12 och//KN//cc//19 en//DT|UTR|SIN|IND//det//19 intensifierad//PC|PRF|UTR|SIN|IND|NOM//amod//19 dialog//NN|UTR|SIN|IND|NOM//conj//15 mellan//PP//case//21 UD//PM|NOM//nmod//19 och//KN//cc//23 utlandsmyndigheterna//NN|UTR|PLU|DEF|NOM//conj//21 om//PP//case//25 tolkningen//NN|UTR|SIN|DEF|NOM//nmod//23 och//KN//cc//27 tillämpningen//NN|UTR|SIN|DEF|NOM//conj//25 av//PP//case//29 lagen//NN|UTR|SIN|DEF|NOM//nmod//27 .//MAD//punct//12
11 Tydlighet och flexibilitet Förslag:;De//DT|UTR/NEU|PLU|DEF//det//33 allmänna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 förutsättningarna//NN|UTR|PLU|DEF|NOM//appos//12 för//PP//advmod//33 när//HA//advmod//38 bistånd//NN|NEU|SIN|IND|NOM//nsubj:pass//38 får//VB|PRS|AKT//aux//38 lämnas//VB|INF|SFO//advcl//12 ska//VB|PRS|AKT//aux//40 framgå//VB|INF|AKT//xcomp//38 av//PP//case//42 lagen//NN|UTR|SIN|DEF|NOM//obl//40 .//MAD//punct//12
11 Tydlighet och flexibilitet Förslag:;Utlandsmyndigheterna//NN|UTR|PLU|DEF|NOM//nsubj//46 bör//VB|PRS|AKT//aux//46 få//VB|INF|AKT//parataxis//12 större//JJ|KOM|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//48 möjligheter//NN|UTR|PLU|IND|NOM//obj//46 att//IE//mark//51 själva//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//nsubj//51 avgöra//VB|INF|AKT//acl//48 när//HA//mark//55 bistånd//NN|NEU|SIN|IND|NOM//nsubj:pass//55 får//VB|PRS|AKT//aux//55 lämnas//VB|INF|SFO//advcl//46 till//PP//case//58 en//DT|UTR|SIN|IND//det//58 person//NN|UTR|SIN|IND|NOM//obl//55 som//HP|-|-|-//nsubj//61 är//VB|PRS|AKT//cop//61 nödställd//JJ|POS|UTR|SIN|IND|NOM//acl:relcl//58 .//MAD//punct//12

11.1 Inledning;I//PP//case//2 kommitténs//NN|UTR|SIN|DEF|GEN//nmod:poss//2 uppdrag//NN|NEU|SIN|IND|NOM//obl//3 ingår//VB|PRS|AKT//ROOT//3 att//IE//mark//5 lämna//VB|INF|AKT//xcomp//3 förslag//NN|NEU|SIN|IND|NOM//obj//5 till//PP//case//12 en//DT|UTR|SIN|IND//det//12 förnyad//PC|PRF|UTR|SIN|IND|NOM//amod//12 eller//KN//cc//11 omarbetad//PC|PRF|UTR|SIN|IND|NOM//conj//9 lagstiftning//NN|UTR|SIN|IND|NOM//nmod//6 om//PP//case//15 vilket//HD|NEU|SIN|IND//det//15 stöd//NN|NEU|SIN|IND|NOM//obl//5 –//PAD//punct//20 genom//PP//case//20 tillfälligt//JJ|POS|NEU|SIN|IND|NOM//advmod//19 ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//20 bistånd//NN|NEU|SIN|IND|NOM//conj//15 eller//KN//cc//24 på//PP//case//24 annat//JJ|POS|NEU|SIN|IND|NOM//amod//24 sätt//NN|NEU|SIN|IND|NOM//conj//20 –//PAD//punct//20 staten//NN|UTR|SIN|DEF|NOM//nsubj//31 genom//PP//case//29 sina//PS|UTR/NEU|PLU|DEF//nmod:poss//29 utlandsmyndigheter//NN|UTR|PLU|IND|NOM//nmod//26 ska//VB|PRS|AKT//aux//31 ge//VB|INF|AKT//parataxis//3 till//PP//case//34 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//34 medborgare//NN|UTR|PLU|IND|NOM//obl//31 som//HP|-|-|-//nsubj//36 befinner//VB|PRS|AKT//acl:relcl//34 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//36 i//PP//case//39 utlandet//NN|NEU|SIN|DEF|NOM//obl//36 .//MAD//punct//3
11.1 Inledning;I//PP//case//42 förslaget//NN|NEU|SIN|DEF|NOM//obl//45 ska//VB|PRS|AKT//aux//45 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//45 anges//VB|INF|SFO//parataxis//3 vilka//HD|UTR/NEU|PLU|IND//det//47 typer//NN|UTR|PLU|IND|NOM//nsubj:pass//45 av//PP//case//51 tillfälligt//AB|POS//advmod//50 ekonomiskt//JJ|POS|NEU|SIN|IND|NOM//amod//51 bistånd//NN|NEU|SIN|IND|NOM//nmod//47 som//HP|-|-|-//nsubj:pass//55 ska//VB|PRS|AKT//aux//55 kunna//VB|INF|AKT//aux//55 ges//VB|INF|SFO//acl:relcl//51 och//KN//cc//61 vilka//HD|UTR/NEU|PLU|IND//det//58 nivåer//NN|UTR|PLU|IND|NOM//dislocated//61 som//HP|-|-|-//nsubj:pass//61 kan//VB|PRS|AKT//aux//61 anses//VB|INF|SFO//conj//55 rimliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//xcomp//61 .//MAD//punct//3

11.2 Hur bör lagen om ekonomiskt bistånd till svenska medborgare i utlandet vara utformad?;Så//AB//advmod//1 långt//AB|POS//advmod//4 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//4 är//VB|PRS|AKT//cop//4 möjligt//JJ|POS|NEU|SIN|IND|NOM//advcl//10 bör//VB|PRS|AKT//aux//10 en//DT|UTR|SIN|IND//det//7 resenär//NN|UTR|SIN|IND|NOM//nsubj//10 före//PP//case//9 utresan//NN|UTR|SIN|DEF|NOM//nmod//7 veta//VB|INF|AKT//ROOT//10 vilka//HD|UTR/NEU|PLU|IND//det//12 rättigheter//NN|UTR|PLU|IND|NOM//obj//28 till//PP//case//14 bistånd//NN|NEU|SIN|IND|NOM//nmod//12 från//PP//case//18 en//DT|UTR|SIN|IND//det//18 svensk//JJ|POS|UTR|SIN|IND|NOM//amod//18 utlandsmyndighet//NN|UTR|SIN|IND|NOM//nmod//12 som//HP|-|-|-//nsubj//20 finns//VB|PRS|SFO//acl:relcl//18 och//KN//cc//23 vilken//HD|UTR|SIN|IND//det//23 skyldighet//NN|UTR|SIN|IND|NOM//conj//18 resenären//NN|UTR|SIN|DEF|NOM//nsubj//28 själv//JJ|POS|UTR|SIN|IND|NOM//amod//24 har//VB|PRS|AKT//aux//28 att//IE//mark//28 försäkra//VB|INF|AKT//ccomp//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//28 ,//MID//punct//10 förbereda//VB|INF|AKT//conj//10 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//31 och//KN//cc//34 förebygga//VB|INF|AKT//conj//31 att//SN//mark//40 behov//NN|NEU|SIN|IND|NOM//nsubj//40 av//PP//case//38 bistånd//NN|NEU|SIN|IND|NOM//nmod//36 ska//VB|PRS|AKT//aux//40 uppstå//VB|INF|AKT//ccomp//34 .//MAD//punct//10
11.2 Hur bör lagen om ekonomiskt bistånd till svenska medborgare i utlandet vara utformad?;Samma//DT|UTR/NEU|SIN/PLU|IND//det//43 sak//NN|UTR|SIN|IND|NOM//obj//44 gäller//VB|PRS|AKT//parataxis//10 den//PN|UTR|SIN|DEF|SUB/OBJ//obj//44 som//HP|-|-|-//nsubj//47 bosätter//VB|PRS|AKT//acl:relcl//45 sig//PN|UTR/NEU|SIN/PLU|DEF|OBJ//obj//47 utomlands//AB//advmod//47 .//MAD//punct//10
11.2 Hur bör lagen om ekonomiskt bistånd till svenska medborgare i utlandet vara utformad?;Det//PN|NEU|SIN|DEF|SUB/OBJ//expl//52 förutsätter//VB|PRS|AKT//parataxis//10 att//SN//mark//55 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//55 finns//VB|PRS|SFO//ccomp//52 en//DT|UTR|SIN|IND//det//58 tydlig//JJ|POS|UTR|SIN|IND|NOM//amod//58 lagstiftning//NN|UTR|SIN|IND|NOM//nsubj//55 och//KN//cc//61 detaljerade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//61 föreskrifter//NN|UTR|PLU|IND|NOM//conj//58 som//HP|-|-|-//nsubj//63 visar//VB|PRS|AKT//acl:relcl//61 under//PP//case//66 vilka//HD|UTR/NEU|PLU|IND//det//66 förutsättningar//NN|UTR|PLU|IND|NOM//obl//63 som//HP|-|-|-//obl//70 bistånd//NN|NEU|SIN|IND|NOM//nsubj:pass//70 kan//VB|PRS|AKT//aux//70 ges//VB|INF|SFO//acl:relcl//66 .//MAD//punct//10
