6 Beskattningsregler och skattekontroll ;Innehållet//NN|NEU|SIN|DEF|NOM//nsubj//4 i//PP//case//3 detta//DT|NEU|SIN|DEF//det//3 kapitel//NN|NEU|SIN|IND|NOM//nmod//0 bygger//VB|PRS|AKT//ROOT//4 i//PP//case//7 stora//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//7 delar//NN|UTR|PLU|IND|NOM//obl//4 på//PP//case//10 Riksskatteverkets//PM|GEN//nmod:poss//10 Handledning//NN|UTR|SIN|IND|NOM//nmod//7 för//PP//case//12 punktskatter//NN|UTR|PLU|IND|NOM//nmod//10 1997//RG|NOM//nummod//12 .//MAD//punct//4
6 Beskattningsregler och skattekontroll ;Vidare//AB|KOM//advmod//19 har//VB|PRS|AKT//aux//19 som//KN//mark//18 underlag//NN|NEU|SIN|IND|NOM//nsubj:pass//19 använts//VB|SUP|SFO//conj//4 bl.a.//AB|AN//advmod//19 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//22 förarbeten//NN|NEU|PLU|IND|NOM//obj//19 till//PP//case//25 dels//KN//fixed//23 lagen//NN|UTR|SIN|DEF|NOM//obl//19 om//PP//case//27 alkoholskatt//NN|UTR|SIN|IND|NOM//nmod//25 (//PAD//punct//27 prop//NN|UTR|SIN|IND|NOM//appos//27 .//MAD//punct//27
6 Beskattningsregler och skattekontroll ;1994/95:56//RG|NOM//nummod//33 Nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 lagar//NN|UTR|PLU|IND|NOM//appos//27 om//PP//case//35 tobakskatt//NN|UTR|SIN|IND|NOM//nmod//33 och//KN//cc//37 alkoholskatt//NN|UTR|SIN|IND|NOM//conj//35 ,//MID//punct//39 m.m//AB|AN//conj//35 )//PAD//punct//39 ,//MID//punct//33 dels//KN//advmod//43 lagen//NN|UTR|SIN|DEF|NOM//appos//33 om//PP//case//45 punktskattekontroll//NN|UTR|SIN|IND|NOM//nmod//43 av//PP//case//47 transporter//NN|UTR|PLU|IND|NOM//nmod//45 m.m.//AB|AN//conj//47 av//PP//case//50 alkoholvaror//NN|UTR|PLU|IND|NOM//nmod//47 ,//MID//punct//52 tobaksvaror//NN|UTR|PLU|IND|NOM//conj//50 och//KN//cc//54 mineraloljeprodukter//NN|UTR|PLU|IND|NOM//conj//50 ,//MID//punct//47 dvs.//AB|AN//advmod//57 punktskattekontrollagen//NN|UTR|SIN|DEF|NOM//appos//47 (//PAD//punct//57 prop//NN|UTR|SIN|IND|NOM//conj//47 .//MID//punct//43
6 Beskattningsregler och skattekontroll ;1997/98:100//RG|NOM//nummod//63 Förbättrade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//amod//63 möjligheter//NN|UTR|PLU|IND|NOM//appos//43 till//PP//case//65 punktskattekontroll//NN|UTR|SIN|IND|NOM//nmod//63 m.m.//AB|AN//conj//65 )//PAD//punct//63 .//MAD//punct//19
6 Beskattningsregler och skattekontroll ;I//PP//case//2 Riksskatteverkets//NN|NEU|SIN|DEF|GEN//nmod:poss//2 handledning//NN|UTR|SIN|IND|NOM//obl//7 och//KN//cc//7 i//PP//case//6 förekommande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//6 lagtext//NN|UTR|SIN|IND|NOM//obl//7 används//VB|PRS|SFO//ROOT//7 generellt//AB|POS//advmod//7 beteckningen//NN|UTR|SIN|DEF|NOM//nmod//10 EG//PM|NOM//nsubj:pass//7 ,//MID//punct//7 syftande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advcl//7 på//PP//case//14 verksamheten//NN|UTR|SIN|DEF|NOM//obl//12 inom//PP//case//19 den//DT|UTR|SIN|DEF//det//19 s.k.//AB|AN//amod//19 första//RO|NOM//amod//19 pelaren//NN|UTR|SIN|DEF|NOM//nmod//14 (//PAD//punct//7 se//VB|IMP|AKT//parataxis//7 kapitel//NN|NEU|SIN|IND|NOM//nmod//23 7//RG|NOM//obj//21 om//PP//case//25 EU//PM|NOM//nmod//23 och//KN//cc//27 EG-rätten//NN|UTR|SIN|DEF|NOM//conj//25 )//PAD//punct//7 .//MAD//punct//7
6 Beskattningsregler och skattekontroll ;I//PP//case//32 detta//DT|NEU|SIN|DEF//det//32 kapitel//NN|NEU|SIN|IND|NOM//obl//35 har//VB|PRS|AKT//aux//35 inte//AB//advmod//35 avvikits//VB|SUP|SFO//parataxis//7 från//PP//case//38 denna//DT|UTR|SIN|DEF//det//38 terminologi//NN|UTR|SIN|IND|NOM//obl//35 .//MAD//punct//7
6 Beskattningsregler och skattekontroll ;Med//PP//case//1 EG//PM|NOM//obl//4 eller//KN//cc//3 EG-land//NN|NEU|SIN|IND|NOM//conj//1 avses//VB|PRS|SFO//ROOT//4 i//PP//case//6 punktskattesammanhang//NN|NEU|SIN|IND|NOM//obl//4 de//DT|UTR/NEU|PLU|DEF//det//9 geografiska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//9 områden//NN|NEU|PLU|IND|NOM//nsubj:pass//4 som//HP|-|-|-//nsubj//11 tillhör//VB|PRS|AKT//acl:relcl//9 Europeiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//13 gemenskapens//NN|UTR|SIN|DEF|GEN//nmod:poss//14 punktskatteområde//NN|NEU|SIN|IND|NOM//obj//11 .//MAD//punct//4
6 Beskattningsregler och skattekontroll ;Med//PP//case//18 tredje//RO|NOM//amod//18 land//NN|NEU|SIN|IND|NOM//obl//4 förstås//VB|PRS|SFO//punct//18 länder//NN|NEU|PLU|IND|NOM//conj//18 och//KN//cc//22 områden//NN|NEU|PLU|IND|NOM//conj//20 utanför//PP//case//25 detta//DT|NEU|SIN|DEF//det//25 skatteområde//NN|NEU|SIN|IND|NOM//nmod//22 (//PAD//punct//18 1//RG|NOM//nummod//28 §//NN|AN//nmod//31 andra//RO|NOM//amod//30 stycket//NN|NEU|SIN|DEF|NOM//conj//28 lagen//NN|UTR|SIN|DEF|NOM//appos//18 om//PP//case//33 alkoholskatt//NN|UTR|SIN|IND|NOM//nmod//31 )//PAD//punct//18 .//MAD//punct//4
6 Beskattningsregler och skattekontroll ;Av//PP//case//2 central//JJ|POS|UTR|SIN|IND|NOM//amod//2 betydelse//NN|UTR|SIN|IND|NOM//obl//11 på//PP//case//5 skatterättens//NN|UTR|SIN|DEF|GEN//nmod:poss//5 område//NN|NEU|SIN|IND|NOM//nmod//2 är//VB|PRS|AKT//cop//11 det//PN|NEU|SIN|DEF|SUB/OBJ//expl//11 i//PP//case//10 avsnitt//NN|NEU|SIN|IND|NOM//nmod//10 6.2.2//RG|NOM//obl//11 redovisade//VB|PRT|AKT//ROOT//11 direktivet//NN|NEU|SIN|DEF|NOM//obj//11 med//PP//case//15 gemensamma//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//15 förfaranderegler//NN|UTR|PLU|IND|NOM//obl//11 för//PP//case//18 bl.a.//AB|AN//advmod//18 alkoholvaror//NN|UTR|PLU|IND|NOM//nmod//15 .//MAD//punct//11
6 Beskattningsregler och skattekontroll ;Före//PP//case//21 redovisningen//NN|UTR|SIN|DEF|NOM//obl//11 av//PP//case//24 direktivets//NN|NEU|SIN|DEF|GEN//nmod:poss//24 bestämmelser//NN|UTR|PLU|IND|NOM//nmod//21 och//KN//cc//29 de//DT|UTR/NEU|PLU|DEF//nsubj//29 på//PP//case//28 direktivet//NN|NEU|SIN|DEF|NOM//obl//29 grundade//VB|PRT|AKT//conj//11 svenska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 ,//MID//punct//30 interna//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//33 beskattningsreglerna//NN|UTR|PLU|DEF|NOM//nsubj:pass//34 lämnas//VB|PRS|SFO//xcomp//29 en//DT|UTR|SIN|IND//det//38 inledande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//38 kort//JJ|POS|UTR|SIN|IND|NOM//amod//38 beskrivning//NN|UTR|SIN|IND|NOM//nsubj:pass//34 av//PP//case//41 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//41 EG-regler//NN|UTR|PLU|IND|NOM//nmod//38 och//KN//cc//43 regler//NN|UTR|PLU|IND|NOM//conj//41 i//PP//case//45 lagen//NN|UTR|SIN|DEF|NOM//nmod//43 om//PP//case//47 alkoholskatt//NN|UTR|SIN|IND|NOM//nmod//43 ,//MID//punct//34 om//SN//mark//51 skattepliktig//JJ|POS|UTR|SIN|IND|NOM//amod//51 alkoholvara//NN|UTR|SIN|IND|NOM//advcl//34 .//MAD//punct//11
6 Beskattningsregler och skattekontroll ;Allra//AB//advmod//1 först//AB//advmod//2 lämnas//VB|PRS|SFO//ROOT//2 emellertid//AB//advmod//2 en//DT|UTR|SIN|IND//det//6 kort//JJ|POS|UTR|SIN|IND|NOM//amod//6 redogörelse//NN|UTR|SIN|IND|NOM//nsubj:pass//2 för//PP//case//10 vissa//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 organisatoriska//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//10 förändringar//NN|UTR|PLU|IND|NOM//nmod//6 inom//PP//case//12 skatteförvaltningen//NN|UTR|SIN|DEF|NOM//nmod//10 .//MAD//punct//2
