Sammanfattning;Utredningen//NN|UTR|SIN|DEF|NOM//nsubj//6 om//PP//case//4 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//4 framtida//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//4 personalförsörjning//NN|UTR|SIN|IND|NOM//nmod//0 har//VB|PRS|AKT//aux//6 haft//VB|SUP|AKT//ROOT//6 som//KN//mark//8 uppdrag//NN|NEU|SIN|IND|NOM//xcomp//6 att//IE//mark//10 se//VB|INF|AKT//acl//8 över//PL//compound:prt//10 och//KN//cc//13 föreslå//VB|INF|AKT//conj//10 de//DT|UTR/NEU|PLU|DEF//det//15 åtgärder//NN|UTR|PLU|IND|NOM//obj//13 som//HP|-|-|-//nsubj:pass//17 behövs//VB|PRS|SFO//acl:relcl//15 för//PP//mark//21 att//IE//mark//21 kunna//VB|INF|AKT//aux//21 anpassa//VB|INF|AKT//advcl//17 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//23 personalförsörjning//NN|UTR|SIN|IND|NOM//obj//21 till//PP//case//27 myndighetens//NN|UTR|SIN|DEF|GEN//nmod:poss//27 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//27 uppgifter//NN|UTR|PLU|IND|NOM//obl//21 och//KN//cc//29 behov//NN|NEU|PLU|IND|NOM//conj//27 .//MAD//punct//6

Försvarsmaktens personal och förband;Riksdagen//NN|UTR|SIN|DEF|NOM//nsubj//1 antog//VB|PRT|AKT//ROOT//1 den//DT|UTR|SIN|DEF//det//4 19//RG|NOM//nummod//4 maj//NN|UTR|SIN|IND|NOM//obj//1 2010//RG|NOM//nummod//4 (//PAD//punct//4 rskr//PM|NOM//nmod//8 2009/10:269//RG|NOM//appos//4 ,//MID//punct//8 2009/10:270//RG|NOM//conj//8 )//PAD//punct//8 regeringens//NN|UTR|SIN|DEF|GEN//nmod:poss//13 proposition//NN|UTR|SIN|IND|NOM//nmod//15 Modern//JJ|POS|UTR|SIN|IND|NOM//amod//15 personalförsörjning//NN|UTR|SIN|IND|NOM//conj//8 för//PP//case//19 ett//DT|NEU|SIN|IND//det//19 användbart//JJ|POS|NEU|SIN|IND|NOM//amod//19 försvar//NN|NEU|SIN|IND|NOM//obl//1  //_SP////19 (//PAD//punct//19 prop//NN|UTR|SIN|IND|NOM//appos//19 .//MID//punct//24
Försvarsmaktens personal och förband;2009/10:160//RG|NOM//conj//22 )//PAD//punct//24 ,//MID//punct//28 vilket//HP|NEU|SIN|IND//nsubj//28 innebar//VB|PRT|AKT//acl:relcl//19 att//SN//mark//33 den//DT|UTR|SIN|DEF//det//32 allmänna//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//32 värnplikten//NN|UTR|SIN|DEF|NOM//nsubj:pass//33 lades//VB|PRT|SFO//ccomp//28 vilande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//advmod//33 i//PP//case//36 fredstid//NN|UTR|SIN|IND|NOM//obl//33 .//MAD//punct//1
Försvarsmaktens personal och förband;Den//DT|UTR|SIN|DEF//det//40 försvarspolitiska//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//40 inriktningen//NN|UTR|SIN|DEF|NOM//nsubj//46 och//KN//cc//42 kraven//NN|NEU|PLU|DEF|NOM//conj//40 på//PP//case//45 operativ//JJ|POS|UTR|SIN|IND|NOM//amod//45 förmåga//NN|UTR|SIN|IND|NOM//nmod//42 innebär//VB|PRS|AKT//parataxis//1 att//SN//mark//54 alla//DT|UTR/NEU|PLU|IND/DEF//det//49 delar//NN|UTR|PLU|IND|NOM//nsubj//54 av//PP//case//51 insatsorganisationen//NN|UTR|SIN|DEF|NOM//nmod//49 bör//VB|PRS|AKT//aux//54 vara//VB|INF|AKT//cop//54 tillgängliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//ccomp//46 för//PP//case//58 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//58 samtliga//JJ|POS|UTR/NEU|PLU|IND|NOM//amod//58 uppgifter//NN|UTR|PLU|IND|NOM//obl//54 utan//PP//case//61 föregående//JJ|POS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//61 beslut//NN|NEU|SIN|IND|NOM//nmod//58 om//PP//mark//79 t.ex.//AB|AN//advmod//64 mobilisering//NN|UTR|SIN|IND|NOM//nsubj//79 eller//KN//cc//66 höjd//PC|PRF|UTR|SIN|IND|NOM//conj//64 beredskap//NN|UTR|SIN|IND|NOM//conj//64 .//MAD//punct//64
Försvarsmaktens personal och förband;Mot//PP//case//71 denna//DT|UTR|SIN|DEF//det//71 bakgrund//NN|UTR|SIN|IND|NOM//obl//79 bör//VB|PRS|AKT//aux//79 Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//74 personalförsörjning//NN|UTR|SIN|IND|NOM//nsubj//79 i//PP//case//77 alla//DT|UTR/NEU|PLU|IND/DEF//det//77 delar//NN|UTR|PLU|IND|NOM//obl//79 vara//VB|INF|AKT//cop//79 utformad//PC|PRF|UTR|SIN|IND|NOM//acl//58 för//PP//mark//86 att//IE//mark//86 på//PP//case//85 ett//DT|NEU|SIN|IND//det//85 kostnadseffektivt//JJ|POS|NEU|SIN|IND|NOM//amod//85 sätt//NN|NEU|SIN|IND|NOM//obl//86 gagna//VB|INF|AKT//advcl//79 insatsorganisationens//NN|UTR|SIN|DEF|GEN//nmod:poss//88 tillgänglighet//NN|UTR|SIN|IND|NOM//obj//86 och//KN//cc//90 användbarhet//NN|UTR|SIN|IND|NOM//conj//88 .//MAD//punct//1
Försvarsmaktens personal och förband;I//PP//case//3 det//DT|NEU|SIN|DEF//det//3 nya//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//3 personalförsörjningssystemet//NN|NEU|SIN|DEF|NOM//obl//4 införs//VB|PRS|SFO//ROOT//4 två//RG|NOM//nummod//8 nya//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 militära//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//8 personalkategorier//NN|UTR|PLU|IND|NOM//nsubj:pass//4 ,//MID//punct//8 tidvis//AB//advmod//13 respektive//AB//cc//13 kontinuerligt//AB|POS//advmod//13 tjänstgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 gruppbefäl//NN|UTR|SIN|IND|NOM//appos//8 ,//MID//punct//16 soldater//NN|UTR|PLU|IND|NOM//conj//14 och//KN//cc//18 sjömän//NN|UTR|PLU|IND|NOM//conj//14 .//MAD//punct//4
Försvarsmaktens personal och förband;Kontinuerligt//AB|POS//advmod//21 tjänstgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//22 personal//NN|UTR|SIN|IND|NOM//nsubj//24 är//VB|PRS|AKT//cop//24 arbetstagare//NN|UTR|PLU|IND|NOM//parataxis//4 som//HP|-|-|-//nsubj//26 har//VB|PRS|AKT//acl:relcl//24 anställningen//NN|UTR|SIN|DEF|NOM//obj//26 i//PP//case//29 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//26 som//KN//mark//33 sin//PS|UTR|SIN|DEF//nmod:poss//33 huvudsakliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//33 sysselsättning//NN|UTR|SIN|IND|NOM//obl//26 .//MAD//punct//24
Försvarsmaktens personal och förband;Tidvis//AB//advmod//37 tjänstgörande//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//37 personal//NN|UTR|SIN|IND|NOM//nsubj//39 är//VB|PRS|AKT//cop//39 arbetstagare//NN|UTR|PLU|IND|NOM//parataxis//24 som//HP|-|-|-//nsubj//41 har//VB|PRS|AKT//acl:relcl//39 sin//PS|UTR|SIN|DEF//nmod:poss//44 huvudsakliga//JJ|POS|UTR/NEU|SIN|DEF|NOM//amod//44 sysselsättning//NN|UTR|SIN|IND|NOM//obj//41 utanför//PP//case//46 Försvarsmakten//NN|UTR|SIN|DEF|NOM//obl//41 .//MAD//punct//4
Försvarsmaktens personal och förband;"Försvarsmaktens//NN|UTR|SIN|DEF|GEN//nmod:poss//1 förband//NN|NEU|SIN|IND|NOM//nsubj//2 kommer//VB|PRS|AKT//aux//7 i//PP//case//4 framtiden//NN|UTR|SIN|DEF|NOM//obl//7 att//IE//mark//7 vara//VB|INF|AKT//cop//7 organiserade//PC|PRF|UTR/NEU|PLU|IND/DEF|NOM//ROOT//7 i//PP//case//11 två//RG|NOM//nummod//11 huvudsakliga//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//11 förbandstyper//NN|UTR|PLU|IND|NOM//obl//7 ;//MID//punct//7"
Försvarsmaktens personal och förband;stående//PC|PRS|UTR/NEU|SIN/PLU|IND/DEF|NOM//amod//14 förband//NN|NEU|PLU|IND|NOM//parataxis//7 och//KN//cc//16 kontraktsförband//NN|NEU|PLU|IND|NOM//conj//14 ,//MID//punct//20 samt//KN//cc//20 i//PP//case//20 hemvärnet//NN|NEU|SIN|DEF|NOM//conj//14 med//PP//case//24 de//DT|UTR/NEU|PLU|DEF//det//24 nationella//JJ|POS|UTR/NEU|PLU|IND/DEF|NOM//amod//24 skyddsstyrkorna//NN|UTR|PLU|DEF|NOM//nmod//20 .//MAD//punct//7
